experiment,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2
E0_environmental,0.06533218687400222,0.08369467976973409,0.2403646320104599,0.20029020369987946,0.8426003217697143,0.0510335943168319
E1_environmental_tweet_count,0.07078345785848797,0.09395380378888131,0.23855317756533623,0.20300076071007472,0.8498935341835022,0.045031249621930745
E3_environmental_semantic,0.06272022919729352,0.08200128618085135,0.22367147877812385,0.192093701054635,0.859221613407135,0.06350757925929554
E4_environmental_semantic_tweet_count,0.0586078426335007,0.07530582687175244,0.21906076595187188,0.18847803797357643,0.8812028646469117,0.031018023189348747
